,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0066693,0.0,1.0,-100.0,10.986
1,490.0,720.04,0.00059996,2.0,0.42173,6.2477
2,980.0,1440.4,0.0005997,2.0,0.42173,6.0154
3,1470.0,2161.0,0.00059923,2.0,0.42216,5.7851
4,1886.0,2880.1,0.00059854,3.0,0.42109,5.5063
5,2214.0,3601.9,0.00059762,3.0,0.42171,5.363
6,2541.0,4321.0,0.00059649,3.0,0.42206,5.2688
7,2868.0,5040.2,0.00059514,3.0,0.42183,5.1588
8,3122.0,5760.1,0.00059357,4.0,0.42235,5.0371
9,3368.0,6480.7,0.00059179,4.0,0.42252,4.9484
10,3614.0,7201.9,0.00058978,4.0,0.42261,4.8424
11,3842.0,7920.7,0.00058757,5.0,0.42311,4.753
12,4039.0,8642.0,0.00058514,5.0,0.42363,4.6498
13,4236.0,9363.2,0.0005825,5.0,0.42217,4.6408
14,4432.0,10081.0,0.00057967,5.0,0.42318,4.5938
15,4603.0,10802.0,0.00057662,6.0,0.4237,4.5349
16,4767.0,11523.0,0.00057337,6.0,0.42393,4.4936
17,4931.0,12243.0,0.00056991,6.0,0.42167,4.4453
18,5089.0,12963.0,0.00056627,7.0,0.42331,4.4354
19,5229.0,13681.0,0.00056244,7.0,0.42149,4.3789
20,5370.0,14404.0,0.00055839,7.0,0.42332,4.3769
21,5510.0,15122.0,0.00055419,7.0,0.42292,4.3236
22,5638.0,15841.0,0.00054979,8.0,0.42295,4.2863
23,5761.0,16561.0,0.00054521,8.0,0.42362,4.281
24,5884.0,17280.0,0.00054045,8.0,0.42361,4.2421
25,6006.0,18006.0,0.00053549,9.0,0.42343,4.2073
26,6115.0,18723.0,0.0005304,9.0,0.42365,4.1584
27,6224.0,19441.0,0.00052515,9.0,0.42303,4.1943
28,6334.0,20166.0,0.00051969,9.0,0.42342,4.1681
29,6436.0,20880.0,0.00051416,10.0,0.42331,4.0959
30,6535.0,21605.0,0.00050839,10.0,0.42405,4.0958
31,6633.0,22321.0,0.00050253,10.0,0.42376,4.1024
32,6731.0,23042.0,0.00049651,11.0,0.42392,4.1071
33,6821.0,23767.0,0.00049032,11.0,0.42341,4.0974
34,6910.0,24483.0,0.00048406,11.0,0.42388,4.0626
35,7000.0,25207.0,0.00047761,11.0,0.42355,4.0153
36,7085.0,25920.0,0.00047113,12.0,0.42412,4.0112
37,7168.0,26649.0,0.0004644,12.0,0.42441,3.976
38,7250.0,27368.0,0.00045764,12.0,0.42415,3.9754
39,7332.0,28088.0,0.00045078,12.0,0.42353,3.9784
40,7408.0,28808.0,0.00044381,13.0,0.4242,3.9848
41,7483.0,29522.0,0.00043682,13.0,0.42359,3.9505
42,7559.0,30243.0,0.00042965,13.0,0.42391,3.9598
43,7633.0,30967.0,0.00042239,14.0,0.42378,3.9735
44,7703.0,31683.0,0.00041512,14.0,0.42423,3.9167
45,7774.0,32409.0,0.00040768,14.0,0.42325,3.9638
46,7844.0,33127.0,0.00040027,14.0,0.42292,3.9212
47,7910.0,33844.0,0.00039281,15.0,0.42328,3.8848
48,7976.0,34568.0,0.00038522,15.0,0.42355,3.8659
49,8041.0,35281.0,0.00037769,15.0,0.42395,3.8712
50,8106.0,36008.0,0.00036999,16.0,0.42368,3.8571
51,8167.0,36722.0,0.00036239,16.0,0.42366,3.8715
52,8229.0,37448.0,0.00035463,16.0,0.42141,3.8717
53,8290.0,38162.0,0.00034699,16.0,0.42345,3.8875
54,8349.0,38883.0,0.00033925,17.0,0.42417,3.8383
55,8407.0,39604.0,0.00033151,17.0,0.42401,3.8243
56,8465.0,40325.0,0.00032377,17.0,0.42333,3.8316
57,8522.0,41042.0,0.00031607,18.0,0.42341,3.8238
58,8577.0,41766.0,0.0003083,18.0,0.42344,3.8379
59,8632.0,42491.0,0.00030055,18.0,0.42341,3.8275
60,8686.0,43203.0,0.00029296,18.0,0.42287,3.792
61,8739.0,43926.0,0.00028529,19.0,0.4234,3.7879
62,8791.0,44648.0,0.00027765,19.0,0.42419,3.7972
63,8843.0,45371.0,0.00027006,19.0,0.42339,3.7822
64,8894.0,46082.0,0.00026264,20.0,0.42383,3.7721
65,8944.0,46814.0,0.00025506,20.0,0.4228,3.7579
66,8993.0,47530.0,0.00024769,20.0,0.42323,3.7911
67,9042.0,48248.0,0.00024038,20.0,0.42188,3.7785
68,9090.0,48971.0,0.0002331,21.0,0.42181,3.7976
69,9137.0,49693.0,0.00022589,21.0,0.42327,3.7896
70,9183.0,50400.0,0.00021892,21.0,0.42329,3.7737
71,9230.0,51123.0,0.00021189,22.0,0.42284,3.7335
72,9275.0,51847.0,0.00020495,22.0,0.42432,3.7615
73,9320.0,52570.0,0.00019812,22.0,0.42403,3.7045
74,9365.0,53293.0,0.0001914,22.0,0.42435,3.7689
75,9409.0,54015.0,0.0001848,23.0,0.42424,3.7326
76,9451.0,54721.0,0.00017847,23.0,0.42378,3.716
77,9494.0,55445.0,0.00017209,23.0,0.4232,3.7487
78,9537.0,56170.0,0.00016584,23.0,0.42338,3.6874
79,9578.0,56887.0,0.0001598,24.0,0.42232,3.7124
80,9619.0,57606.0,0.00015386,24.0,0.42386,3.7037
81,9660.0,58326.0,0.00014808,24.0,0.42347,3.6922
82,9701.0,59056.0,0.00014236,25.0,0.42446,3.7186
83,9740.0,59769.0,0.00013693,25.0,0.42411,3.6901
84,9779.0,60482.0,0.00013165,25.0,0.42435,3.6989
85,9819.0,61212.0,0.00012642,25.0,0.42452,3.669
86,9857.0,61929.0,0.00012144,26.0,0.4239,3.6799
87,9895.0,62650.0,0.00011661,26.0,0.42425,3.7033
88,9933.0,63373.0,0.00011194,26.0,0.42321,3.6964
89,9970.0,64084.0,0.00010753,27.0,0.42426,3.6974
90,10007.0,64815.0,0.00010317,27.0,0.42347,3.6738
91,10043.0,65526.0,9.9115e-05,27.0,0.42365,3.6715
92,10080.0,66257.0,9.514e-05,27.0,0.42422,3.6669
93,10115.0,66967.0,9.1478e-05,28.0,0.42452,3.6691
94,10150.0,67682.0,8.7973e-05,28.0,0.42446,3.673
95,10186.0,68418.0,8.4572e-05,28.0,0.42419,3.6692
96,10221.0,69139.0,8.1448e-05,29.0,0.42414,3.6705
97,10255.0,69860.0,7.8524e-05,29.0,0.42367,3.6584
98,10289.0,70581.0,7.5808e-05,29.0,0.42334,3.6491
99,10322.0,71281.0,7.3371e-05,29.0,0.42377,3.6723
100,10356.0,72017.0,7.1025e-05,30.0,0.42349,3.6734
101,10389.0,72741.0,6.8932e-05,30.0,0.42399,3.6558
102,10421.0,73443.0,6.7109e-05,30.0,0.42387,3.6498
103,10454.0,74169.0,6.5443e-05,31.0,0.42366,3.6341
104,10486.0,74893.0,6.3998e-05,31.0,0.42454,3.6459
105,10518.0,75618.0,6.2774e-05,31.0,0.42401,3.6304
106,10550.0,76342.0,6.1772e-05,31.0,0.4244,3.6153
107,10581.0,77056.0,6.1004e-05,32.0,0.42403,3.6524
108,10612.0,77782.0,6.0444e-05,32.0,0.42293,3.6103
109,10642.0,78485.0,6.0117e-05,32.0,0.4224,3.6283
110,10668.0,79095.0,6.0004e-05,32.0,0.4231,3.6225
111,10673.0,79212.0,6e-05,32.0,0.42264,3.6383
